availability,condition,image,item_number,price,product,retail_price,warranty
IN STOCK,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-master-ii-116710-27.jpg,116710LN,"$9,495.00",Rolex GMT-Master II 116710,,"6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
IN STOCK,"Factory Fresh, Never Worn",https://sep.yimg.com/ay/movadobaby/rolex-19mm-brown-crocodile-strap-335112-3.jpg,335112,$495.00,Rolex 19mm Brown Crocodile Strap 335112,,
IN STOCK,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-lady-datejust-28-279173-618.jpg,279173-SLVDJ,"$9,475.00",Rolex Lady-Datejust 28 Women's Watch 279173,"$11,100.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
IN STOCK,"Factory Fresh, Never Worn",https://sep.yimg.com/ay/movadobaby/rolex-oyster-13mm-single-link-2.jpg,Rolex-Oyster-13mm-Link,$150.00,Rolex Oyster 13mm Single Link,,
IN STOCK,"Factory Fresh, Never Worn",https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-submariner-single-link-18.jpg,Rolex-Oyster-Link-15mm,$150.00,Rolex Oyster 15mm Link,,
IN STOCK,"Factory Fresh, Never Worn",https://sep.yimg.com/ay/movadobaby/rolex-oyster-link-15.jpg,Oyster-Link,$150.00,Rolex Oyster Womens 11mm Single Link,,
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-datejust-pearlmaster-80299-34.jpg,80299-MOPDP,"$44,865.00",Rolex Pearlmaster 80299,"$49,850.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 3 months,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-milgauss-116400gv-41.jpg,116400GV-BLUSO,"$8,075.00",Rolex Milgauss 116400GV,"$8,200.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
Usually ships within 3 months,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-milgauss-116400-91.jpg,116400-BLKSDO,"$7,275.00",Rolex Milgauss 116400,"$7,650.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
Usually ships within 3 months,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-milgauss-116400-gv-52.jpg,116400-GRNSDO,"$7,795.00",Rolex Milgauss 116400GV,"$8,200.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
Usually ships within 6 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-explorer-ii-16570-51.jpg,16570-BLACK,"$6,775.00",Rolex Explorer II 16570,,"6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale (+250),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 6 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-explorer-ii-16570-44.jpg,16570-WHITE,"$6,775.00",Rolex Explorer II 16570,,"6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale (+250),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 3 months,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-sky-dweller-326135-9.jpg,326135-SDTRL,"$35,595.00",Rolex Sky-Dweller 326135,"$39,550.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 3 months,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-sky-dweller-326138-11.jpg,326138-CHPAL,"$34,335.00",Rolex Sky-Dweller 326138,"$38,150.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 6 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-deepsea-126660-40.jpg,126660-BLK,"$15,500.00",Rolex Deepsea 126660,,"6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
