availability,condition,image,item_number,price,product,retail_price,warranty
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-cellini-moonphase-3.jpg,50535,"$24,075.00",Rolex Cellini Moonphase ,"$26,750.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 3 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-day-date-special-edition-18948-102.jpg,18948-CHPDDO,"$51,660.00",Rolex Day-Date Special Edition 18948,"$57,400.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-datejust-116199-33.jpg,116199-BLZDS,"$76,950.00",Rolex Datejust 36 116199,"$83,850.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-lady-datejust-28-279165-382.jpg,279165-DIARP,"$47,610.00",Rolex Lady-Datejust 28 279165,"$52,900.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 8 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-lady-datejust-28-279136rbr-282.jpg,279136RBR-WHTRP,"$46,945.00",Rolex Lady-Datejust 28 279136RBR,"$52,150.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 8 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-lady-datejust-28-279136rbr-246.jpg,279136RBR-DGRYRP,"$46,945.00",Rolex Lady-Datejust 28 279136RBR,"$52,150.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 8 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-lady-datejust-28-279136rbr-274.jpg,279136RBR-DGRYSP,"$46,945.00",Rolex Lady-Datejust 28 279136RBR,"$52,150.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-yacht-master-169628-324.jpg,169628-GRY,"$21,150.00",Rolex Yacht-Master 29 169628,"$23,500.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 6 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-yacht-master-16623-291.jpg,16623-BLU,"$11,700.00",Rolex Yacht-Master 40 16623,"$12,600.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-yacht-master-168628-22.jpg,168628,"$30,375.00",Rolex Yacht-Master 35 168628,"$31,950.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 3 months,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-116034-313.jpg,116034-BLKOAO,"$6,295.00",Rolex Oyster Perpetual 36 116034,"$6,650.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
Usually ships within 3 months,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-116034-297.jpg,116034-SVBCAO,"$6,295.00",Rolex Oyster Perpetual 36 116034,"$6,650.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
